,country,beer,wine,spirits,both_sexes_avg,male_avg,female_avg
1,Albania,34.3,26.5,37.6,31.7,41.7,15.0
2,Algeria,57.3,24.4,18.3,63.0,74.6,26.9
3,Andorra,34.1,42.0,23.9,32.7,45.6,15.9
4,Angola,70.3,17.6,11.3,29.0,37.5,14.2
5,Antigua and Barbuda,33.0,18.3,45.4,30.7,41.0,14.7
6,Argentina,39.9,40.2,9.6,31.5,43.4,15.5
7,Armenia,10.6,7.0,82.3,46.0,59.2,20.9
8,Australia,39.9,37.5,12.9,28.9,40.7,14.0
9,Austria,53.5,31.6,14.9,32.0,45.7,15.9
10,Azerbaijan,61.5,36.9,0.0,8.1,10.0,3.6
11,Bahamas,39.2,16.6,41.2,21.9,28.5,10.1
12,Bahrain,19.0,6.2,45.2,47.9,53.0,18.8
14,Barbados,37.6,10.5,50.0,41.1,55.1,19.3
15,Belarus,22.8,2.2,49.0,32.8,49.4,17.1
16,Belgium,44.4,38.3,14.2,34.3,48.4,16.8
17,Belize,69.1,1.9,26.7,35.1,45.0,16.6
18,Benin,63.7,9.6,13.1,25.1,30.0,11.5
19,Bhutan,46.2,4.2,49.6,4.2,5.0,1.8
20,Bolivia (Plurinational State of),72.8,4.3,21.3,22.6,29.0,10.7
21,Bosnia and Herzegovina,75.8,8.6,12.4,29.0,37.9,13.1
22,Botswana,48.1,23.5,4.4,56.6,70.7,25.9
23,Brazil,61.8,3.4,34.3,41.7,53.7,19.2
24,Brunei Darussalam,100.0,0.0,0.0,2.8,3.0,1.4
25,Bulgaria,38.8,17.2,42.9,41.5,57.5,19.8
26,Burkina Faso,18.0,2.7,5.0,47.9,59.8,22.6
27,Burundi,39.3,0.1,0.1,51.2,64.2,24.1
28,Cabo Verde,55.0,45.0,0.0,36.7,46.1,17.0
29,Cambodia,88.1,0.6,11.2,47.0,59.3,21.9
30,Cameroon,43.5,1.4,0.1,48.8,61.0,22.9
31,Canada,45.1,25.6,25.6,29.9,40.8,14.3
32,Central African Republic,25.9,0.7,0.0,19.0,24.1,9.0
33,Chad,70.2,1.0,5.3,14.0,18.3,7.0
34,Chile,36.1,33.1,30.8,29.6,40.6,14.4
35,China,29.6,3.1,67.2,27.9,36.8,12.9
36,Colombia,71.3,1.1,27.2,32.9,42.1,15.1
37,Comoros,24.6,30.6,44.8,48.3,56.8,21.2
38,Congo,84.4,4.7,10.3,32.7,42.6,15.8
39,Cook Islands,31.7,16.1,52.2,45.0,58.7,21.7
40,Costa Rica,64.1,7.2,27.9,28.0,35.0,12.7
41,C̫te d'Ivoire,21.9,5.0,0.2,46.9,57.9,21.7
42,Croatia,44.5,39.0,13.0,32.4,44.2,15.3
43,Cuba,37.3,4.9,57.4,28.5,36.9,12.9
44,Cyprus,29.7,28.4,41.9,33.0,45.8,16.1
45,Czechia,53.3,21.3,25.4,41.3,58.2,20.1
46,Democratic People's Republic of Korea,2.7,0.0,97.3,20.7,26.9,9.5
47,Democratic Republic of the Congo,38.9,0.6,0.7,15.3,19.2,7.2
48,Denmark,37.4,44.7,17.1,30.1,42.1,14.8
49,Djibouti,27.5,16.7,55.0,5.8,7.1,2.6
50,Dominica,11.1,0.0,88.9,39.0,50.4,18.1
51,Dominican Republic,52.2,4.4,41.9,34.5,44.0,16.2
52,Ecuador,79.9,1.5,17.8,20.6,26.6,9.7
53,Egypt,62.0,4.4,33.1,31.0,36.7,13.3
54,El Salvador,47.8,1.3,50.7,27.6,35.5,13.1
55,Equatorial Guinea,83.0,17.0,0.0,33.5,45.1,16.6
56,Eritrea,62.1,0.1,0.2,13.5,16.5,6.2
57,Estonia,32.7,7.4,50.3,34.4,49.4,17.0
58,Eswatini,24.6,16.1,0.0,74.3,92.3,34.9
59,Ethiopia,54.6,0.3,8.3,27.3,33.4,12.6
60,Fiji,69.8,1.2,28.9,36.5,44.3,15.9
61,Finland,48.8,20.6,21.5,31.9,44.5,15.5
62,France,18.8,58.8,20.7,36.1,51.1,17.9
63,Gabon,76.3,9.2,13.4,37.2,49.8,18.4
64,Gambia,8.5,2.1,0.0,30.4,37.7,14.3
65,Georgia,18.4,43.0,38.5,60.4,78.0,27.4
66,Germany,52.6,28.4,18.9,36.5,51.9,18.0
67,Ghana,28.3,6.6,8.0,22.1,27.3,10.2
68,Greece,31.5,45.5,21.8,34.5,47.5,16.5
69,Grenada,40.9,7.0,48.3,40.4,52.4,19.0
70,Guatemala,56.1,2.1,41.7,19.4,24.3,9.1
71,Guinea,91.1,8.9,0.0,12.5,15.3,5.7
72,Guinea-Bissau,13.7,31.3,13.7,35.6,44.1,16.4
73,Guyana,48.4,0.2,50.8,34.7,43.9,16.0
74,Haiti,2.3,0.3,97.3,35.6,45.1,16.7
75,Honduras,46.6,1.2,52.1,29.1,36.3,13.5
76,Hungary,35.5,32.2,32.3,37.0,51.8,17.9
77,Iceland,56.5,27.9,15.5,27.6,38.0,13.4
78,India,7.5,0.1,92.4,31.5,39.6,14.4
79,Indonesia,18.5,76.4,4.6,7.4,9.1,3.3
81,Iraq,71.0,2.4,25.7,26.7,31.6,11.8
82,Ireland,47.0,28.0,18.8,34.6,49.1,17.2
83,Israel,54.4,4.7,39.5,15.1,20.1,7.2
84,Italy,25.4,64.8,9.8,25.9,35.6,12.3
85,Jamaica,36.3,4.8,54.2,25.8,32.6,11.8
86,Japan,18.2,5.5,40.0,30.4,41.0,14.2
87,Jordan,19.9,2.6,75.9,53.2,62.5,22.9
88,Kazakhstan,30.5,6.5,62.9,41.5,54.0,19.2
89,Kenya,39.8,1.8,21.4,30.4,37.3,13.9
90,Kiribati,100.0,0.0,0.0,7.9,9.6,3.5
92,Kyrgyzstan,11.6,2.2,86.2,51.9,64.6,23.5
93,Lao People's Democratic Republic,50.1,0.0,49.8,56.0,71.4,26.6
94,Latvia,42.8,11.1,40.0,37.2,54.3,18.7
95,Lebanon,33.9,15.4,49.2,54.1,64.1,23.2
96,Lesotho,57.4,3.2,10.5,61.0,74.0,27.9
97,Liberia,9.4,1.8,88.2,40.5,50.1,18.7
99,Lithuania,43.6,7.3,37.1,41.0,60.3,20.9
100,Luxembourg,35.4,44.6,20.0,30.6,44.4,15.5
101,Madagascar,53.8,8.2,38.0,20.0,24.4,9.1
102,Malawi,8.8,0.8,11.3,33.4,40.9,15.5
103,Malaysia,60.7,21.0,17.4,6.7,8.4,3.0
104,Maldives,30.8,37.2,31.9,72.8,86.3,31.6
105,Mali,15.8,1.2,0.0,12.4,15.1,5.7
106,Malta,36.4,29.9,28.7,27.8,37.5,13.1
109,Mauritius,53.9,15.4,30.8,33.1,42.6,15.4
110,Mexico,77.1,2.1,20.4,34.9,41.7,15.7
111,Micronesia (Federated States of),58.1,8.5,32.8,47.2,59.7,21.5
113,Mongolia,43.6,1.9,54.5,52.9,63.1,22.8
114,Montenegro,10.8,43.1,44.1,24.6,30.4,11.5
115,Morocco,42.9,39.8,17.0,38.1,47.7,17.2
116,Mozambique,78.7,8.3,12.4,70.1,88.3,32.9
117,Myanmar,22.4,9.8,67.7,59.0,72.3,26.8
118,Namibia,60.2,10.4,13.9,16.1,20.3,7.6
119,Nauru,22.0,3.7,74.3,26.0,36.0,12.6
120,Nepal,31.0,49.0,20.0,30.9,43.6,15.4
121,Netherlands,47.8,35.8,16.4,34.5,43.6,16.0
122,New Zealand,37.4,33.4,28.9,5.4,6.5,2.5
123,Nicaragua,39.7,0.8,59.5,55.0,70.7,26.4
124,Niger,45.0,13.7,41.4,45.5,57.0,21.1
125,Nigeria,7.9,0.4,0.6,20.4,28.6,10.0
126,Niue,56.3,13.1,30.6,19.7,21.3,7.6
127,Norway,43.9,36.7,16.7,56.2,65.9,24.4
128,Oman,39.8,2.8,57.0,35.7,46.3,16.6
131,Panama,76.9,3.5,19.4,25.6,33.7,12.2
132,Papua New Guinea,95.2,2.7,2.1,43.1,53.9,19.7
133,Paraguay,54.2,17.4,27.3,37.0,51.5,17.9
134,Peru,60.1,8.1,31.8,38.4,54.3,18.8
135,Philippines,27.3,0.4,72.0,9.4,10.3,3.7
136,Poland,56.1,7.8,36.1,34.6,47.0,16.4
137,Portugal,26.1,61.5,7.7,49.2,68.5,24.0
138,Qatar,25.9,10.2,63.4,40.7,56.6,19.5
139,Republic of Korea,22.2,1.9,7.1,43.5,66.0,22.8
140,Republic of Moldova,16.2,56.6,25.2,55.4,71.3,26.8
141,Romania,55.6,28.1,16.4,37.0,48.9,17.6
142,Russian Federation,39.0,12.8,38.6,42.8,56.4,20.2
143,Rwanda,14.8,0.2,2.7,38.2,49.2,17.6
144,Saint Kitts and Nevis,47.8,6.5,43.4,33.9,40.6,14.9
145,Saint Lucia,35.4,13.2,50.0,43.5,54.4,20.3
146,Saint Vincent and the Grenadines,36.6,3.6,57.2,8.1,9.7,3.4
147,Samoa,94.1,5.9,0.0,7.6,9.4,3.5
149,Sao Tome and Principe,19.8,80.2,0.0,47.2,62.1,21.8
151,Senegal,56.4,34.1,8.5,6.3,8.7,3.0
152,Serbia,32.0,42.5,25.4,35.8,50.0,17.3
153,Seychelles,68.9,22.4,6.3,38.3,53.2,18.3
154,Sierra Leone,4.0,1.1,0.0,22.6,27.1,10.1
155,Singapore,70.0,14.6,13.4,3.3,3.9,1.5
156,Slovakia,33.7,20.9,41.9,64.6,81.0,29.6
157,Slovenia,41.4,50.6,8.0,31.5,43.8,15.1
158,Solomon Islands,93.3,2.9,3.3,32.2,40.8,14.5
160,South Africa,56.0,18.5,17.8,26.2,33.6,12.0
162,Spain,54.2,18.0,27.8,30.6,43.6,15.2
163,Sri Lanka,13.2,0.3,84.9,33.4,37.5,13.9
165,Suriname,44.9,3.5,48.8,43.9,56.7,19.8
166,Sweden,36.4,47.8,14.1,32.7,43.2,15.2
167,Switzerland,32.1,48.1,18.5,20.5,24.9,9.3
168,Syrian Arab Republic,11.6,1.1,87.2,26.0,32.1,12.0
169,Tajikistan,37.9,0.7,60.9,23.1,27.9,10.3
170,Thailand,28.3,2.7,68.9,30.8,41.4,14.6
171,Republic of North Macedonia,35.3,46.6,17.4,79.1,88.1,31.4
172,Timor-Leste,67.6,32.4,0.0,61.7,71.9,25.8
173,Togo,37.0,16.0,18.2,38.6,48.5,17.6
174,Tonga,60.7,11.5,27.9,25.9,31.3,11.6
175,Trinidad and Tobago,57.9,3.3,37.1,56.3,70.7,26.9
176,Tunisia,72.2,23.9,3.8,29.9,44.3,15.0
177,Turkey,57.6,8.6,33.8,44.2,47.3,16.5
178,Turkmenistan,26.8,35.1,38.0,33.7,47.1,16.5
179,Tuvalu,0.6,84.7,14.1,55.7,70.4,26.4
180,Uganda,11.0,0.1,3.1,29.6,41.0,14.4
181,Ukraine,42.3,5.4,51.5,34.0,47.0,16.8
182,United Arab Emirates,10.1,7.7,81.9,27.7,34.2,12.4
183,United Kingdom of Great Britain and Northern Ireland,35.0,35.7,22.5,15.9,19.2,7.1
184,United Republic of Tanzania,12.2,0.4,1.6,32.1,40.9,14.8
185,United States of America,47.0,18.1,34.9,49.3,62.9,22.4
186,Uruguay,35.2,43.7,21.1,20.3,23.8,9.0
187,Uzbekistan,34.4,8.6,56.9,38.3,47.3,17.9
188,Vanuatu,38.5,25.4,36.1,58.8,71.8,27.1
